dutyName,dutyTel3,hpid,hv1,hv10,hv11,hv12,hv2,hv3,hv4,hv5,hv6,hv7,hv8,hv9,hvamyn,hvangioayn,hvcc,hvccc,hvctayn,hvec,hvgc,hvicc,hvidate,hvmriayn,hvncc,hvoc,hvventiayn,phpid,rnum
세란병원,02-737-0181,A1100032,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,46,0,2.02E+13,Y,0,5,Y,A1100032,4
인제대학교서울백병원,02-2270-0119,A1100033,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,36,1,2.02E+13,Y,0,5,Y,A1100033,1
경찰병원,02-3400-1300,A1100039,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,73,11,2.02E+13,Y,0,7,Y,A1100039,1
재단법인아산사회복지재단서울아산병원,02-3010-3333,A1100009,0,Y,Y,0,4,1,0,Y,0,Y,0,0,Y,N,0,1,Y,34,81,0,2.02E+13,Y,12,69,Y,A1100009,2
의료법인풍산의료재단동부제일병원,02-490-8880,A1100075,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,36,0,2.02E+13,N,0,2,Y,A1100075,1
녹색병원,02-490-2112-3,A1100044,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,79,3,2.02E+13,Y,0,3,Y,A1100044,2
서울특별시서울의료원,NA,A1100035,0,Y,Y,0,7,0,0,Y,9,Y,0,0,Y,N,0,0,Y,16,440,0,2.02E+13,Y,4,9,Y,A1100035,3
홍익병원,02-2600-0777,A1100019,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,9,107,1,2.02E+13,Y,0,0,Y,A1100019,1
서울특별시서남병원,NA,A1100223,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,234,15,2.02E+13,Y,0,5,Y,A1100223,2
이화여자대학교의과대학부속목동병원,02-2650-5911,A1100005,0,Y,Y,0,0,0,0,Y,5,Y,0,0,Y,N,0,0,Y,3,117,0,2.02E+13,Y,3,13,Y,A1100005,3
학교법인가톨릭학원가톨릭대학교서울성모병원,02-2258-2370,A1100012,0,Y,Y,0,6,14,0,Y,9,Y,0,0,Y,N,0,1,Y,9,130,0,2.02E+13,Y,28,29,Y,A1100012,1
한국원자력의학원원자력병원,02-970-2621,A1100027,0,0,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,9,94,4,2.02E+13,Y,0,10,Y,A1100027,1
인제대학교상계백병원,02-950-1100,A1100016,0,Y,Y,0,0,5,0,Y,1,Y,0,0,Y,N,0,0,Y,-8,60,0,2.02E+13,Y,1,13,Y,A1100016,2
노원을지대학교병원,02-970-8282,A1100048,0,Y,Y,0,4,2,0,Y,0,Y,0,0,Y,N,0,0,Y,15,107,0,2.02E+13,Y,4,10,Y,A1100048,3
건국대학교병원,02-2030-5555,A1100002,0,Y,Y,0,1,5,0,Y,0,Y,0,0,Y,N,0,0,Y,9,121,0,2.02E+13,Y,5,17,Y,A1100002,1
혜민병원,02-2049-9119,A1100051,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,91,5,2.02E+13,Y,0,4,Y,A1100051,2
의료법인성화의료재단대한병원,02-905-9110,A1100030,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,5,53,3,2.02E+13,Y,0,3,Y,A1100030,1
희명병원,02-809-0122,A1100049,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,7,40,4,2.02E+13,Y,0,3,Y,A1100049,1
부산성모병원(재단법인천주교부산교구유지재단),051-933-7119,A1200013,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,125,3,2.02E+13,Y,13,6,Y,A1200013,1
좋은문화병원,051-630-0909,A1200026,0,Y,Y,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,72,1,2.02E+13,Y,3,4,Y,A1200026,1
의료법인정화의료재단김원묵기념봉생병원,051-664-4119,A1200017,0,0,0,0,6,4,0,Y,0,Y,0,0,Y,N,0,0,Y,7,85,0,2.02E+13,Y,0,8,Y,A1200017,2
동래봉생병원,051-520-5700,A1200011,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,9,74,5,2.02E+13,Y,0,5,Y,A1200011,1
대동병원,051-550-9391,A1200018,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,122,8,2.02E+13,Y,0,6,Y,A1200018,2
의료법인광혜의료재단광혜병원,051-504-2119,A1200009,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,81,2,2.02E+13,Y,0,3,Y,A1200009,3
의료법인 온그룹의료재단 온종합병원,051-607-0139,A1200020,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,24,53,7,2.02E+13,Y,0,6,Y,A1200020,1
인제대학교부산백병원,051-890-8934,A1200001,0,Y,Y,0,4,0,0,Y,0,Y,0,0,Y,N,0,0,Y,4,28,0,2.02E+13,Y,8,17,Y,A1200001,2
학교법인)동의병원,051-850-8777,A1200019,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,15,101,12,2.02E+13,Y,0,1,Y,A1200019,3
학교법인 춘해병원,051-632-3119,A1200025,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,55,0,2.02E+13,Y,0,4,Y,A1200025,4
구포성심병원,051-330-2090,A1200045,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,9,29,0,2.02E+13,Y,0,3,Y,A1200045,1
의료법인인당의료재단부민병원,051-330-3129,A1200006,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,8,64,9,2.02E+13,Y,0,9,Y,A1200006,2
고신대학교복음병원,051-990-3008,A1200004,0,Y,Y,0,2,2,0,Y,0,Y,0,0,Y,N,2,0,Y,4,120,0,2.02E+13,Y,1,13,Y,A1200004,1
부산대학교병원,051-240-7776,A1200002,0,Y,Y,0,2,0,0,Y,1,Y,0,25,Y,N,0,0,Y,21,245,7,2.02E+13,Y,7,26,Y,A1200002,2
동아대학교병원,051-240-5301,A1200003,0,Y,Y,0,0,0,0,Y,1,Y,0,0,Y,N,0,4,Y,17,120,2,2.02E+13,Y,4,15,Y,A1200003,3
삼육부산병원,051-600-7750,A1200021,0,0,Y,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,1,39,1,2.02E+13,Y,0,3,Y,A1200021,4
해동병원,051-410-6695,A1200012,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,65,4,2.02E+13,Y,0,3,Y,A1200012,1
영도병원,051-419-7575,A1200014,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,76,5,2.02E+13,Y,0,3,Y,A1200014,2
의료법인인당의료재단해운대부민병원,051-602-8119,A1205143,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,47,8,2.02E+13,Y,0,7,Y,A1205143,1
인제대학교해운대백병원,051-797-0119,A1200022,0,Y,Y,0,4,2,0,Y,0,Y,0,0,Y,N,0,0,Y,0,33,0,2.02E+13,Y,6,17,Y,A1200022,2
부산광역시의료원,051-607-2140,A1200024,0,0,Y,0,8,8,0,Y,0,Y,0,0,Y,N,0,0,Y,18,305,0,2.02E+13,Y,0,7,Y,A1200024,1
의료법인 은성의료재단 좋은강안병원,051-610-9119,A1200008,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,32,1,2.02E+13,Y,0,7,Y,A1200008,1
비에이치에스한서병원,070-7321-0119,A1200007,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,98,8,2.02E+13,Y,0,4,Y,A1200007,2
의료법인은성의료재단좋은삼선병원,051-310-9119,A1200005,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,48,9,2.02E+13,Y,0,4,Y,A1200005,1
한국보훈복지의료공단부산보훈병원,051-601-6180,A1200016,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,12,56,1,2.02E+13,Y,0,7,Y,A1200016,2
(의)서일의료재단기장병원,051-723-2119,A1200028,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,54,0,2.02E+13,Y,0,2,Y,A1200028,1
동남권원자력의학원,051-720-5911,A1200015,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,9,36,4,2.02E+13,Y,0,6,Y,A1200015,2
(재)미리내천주성삼성직수도회천주성삼병원,053-790-0555,A1300081,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,27,0,2.02E+13,Y,0,4,Y,A1300081,1
의료법인구의료재단구병원,053-557-7119,A1300006,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,89,0,2.02E+13,Y,0,8,Y,A1300006,1
계명대학교동산병원,053-250-6321,A1300003,0,Y,Y,0,4,2,0,Y,0,Y,0,0,Y,N,1,0,Y,2,75,2,2.02E+13,Y,9,23,Y,A1300003,2
더블유병원,053-550-5019,A1300110,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,14,0,2.02E+13,Y,0,6,Y,A1300110,3
한국보훈복지의료공단대구보훈병원,053-630-7014,A1300011,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,145,9,2.02E+13,Y,0,6,Y,A1300011,4
삼일병원,053-659-3119,A1300045,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,62,0,2.02E+13,N,0,2,Y,A1300045,5
나사렛종합병원,053-643-1400,A1300038,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,4,108,5,2.02E+13,Y,0,5,Y,A1300038,6
현대유비스병원,032-890-5582,A1400004,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,15,34,9,2.02E+13,Y,0,6,Y,A1400004,1
인천사랑병원,032-457-2119,A1400016,0,0,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,56,7,2.02E+13,Y,0,6,Y,A1400016,2
가톨릭대학교인천성모병원,032-280-6107,A1400012,0,Y,Y,0,-2,0,0,Y,0,Y,0,0,Y,N,0,0,Y,0,112,0,2.02E+13,Y,5,17,Y,A1400012,1
근로복지공단인천병원,032-500-0119,A1400032,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,3,44,15,2.02E+13,Y,0,3,Y,A1400032,2
안은의료재단 부평세림병원,032-509-5777,A1400013,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,17,68,8,2.02E+13,Y,0,4,Y,A1400013,3
의료법인 길의료재단 길병원,032-460-3012,A1400001,0,Y,Y,0,0,3,0,Y,0,Y,0,5,Y,N,0,0,Y,9,261,0,2.02E+13,Y,9,1,Y,A1400001,1
의료법인 나사렛의료재단 나사렛국제병원,032-899-9699,A1400011,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,18,63,10,2.02E+13,Y,0,4,Y,A1400011,1
메디플렉스세종병원,032-240-8119,A1403372,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,11,92,0,2.02E+13,Y,0,5,Y,A1403372,1
의료법인인성의료재단한림병원,032-540-9119,A1400014,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,15,63,9,2.02E+13,Y,0,6,Y,A1400014,2
비에스종합병원,032-290-0119,A1403617,0,0,Y,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,76,4,2.02E+13,Y,1,2,Y,A1403617,1
인천광역시의료원백령병원,032-836-1732,A1400037,0,Y,Y,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,30,0,2.02E+13,N1,0,1,Y,A1400037,1
신가병원,062-610-8119,A1500006,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,105,0,2.02E+13,Y,0,2,Y,A1500006,1
KS병원,062-975-9119,A1500019,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,9,55,0,2.02E+13,Y,0,4,Y,A1500019,2
하남성심병원,062-958-1250,A1500017,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,16,72,3,2.02E+13,Y,0,4,Y,A1500017,3
광주수완병원,062-958-1119,A1500018,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,40,0,2.02E+13,Y,0,3,Y,A1500018,4
광주보훈병원,062-602-6119,A1500004,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,128,16,2.02E+13,Y,0,8,Y,A1500004,5
첨단종합병원,062-601-8119,A1500011,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,72,11,2.02E+13,Y,0,5,Y,A1500011,6
의료법인영훈의료재단유성선병원,042-609-1119,A1600007,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,15,68,10,2.02E+13,Y,0,3,Y,A1600007,1
근로복지공단대전병원,042-670-5119,A1600009,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,63,5,2.02E+13,Y,0,3,Y,A1600009,1
대전보훈병원,042-939-0100,A1600004,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,6,121,4,2.02E+13,Y,0,5,Y,A1600004,2
서울산보람병원,052-255-7119,A1700001,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,86,0,2.02E+13,Y,0,3,Y,A1700001,1
엔케이(NK)세종병원,044-850-7704,A1800417,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,65,0,2.02E+13,Y,0,3,Y,A1800417,1
양평병원,031-770-5129,A2100089,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,47,0,2.02E+13,Y,0,3,Y,A2100089,1
세종여주병원,031-880-7754,A2100194,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,78,0,2.02E+13,N,0,2,Y,A2100194,1
연천군보건의료원,031-839-4119,E2100187,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,50,0,2.02E+13,N1,0,2,Y,E2100187,1
광명성애병원,02-2680-7115,A2100007,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,71,6,2.02E+13,Y,0,5,Y,A2100007,1
가톨릭대학교부천성모병원,032-340-2100,A2100052,0,Y,Y,0,4,2,0,Y,2,Y,0,0,Y,N,0,0,Y,2,56,0,2.02E+13,Y,7,11,Y,A2100052,1
순천향대학교부속부천병원,032-621-5117,A2100005,0,Y,Y,0,1,2,0,Y,0,Y,0,0,Y,N,0,0,Y,7,99,0,2.02E+13,Y,10,19,Y,A2100005,2
의료법인대인의료재단다니엘종합병원,032-670-0119,A2100050,0,0,0,0,5,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,59,0,2.02E+13,Y,0,5,Y,A2100050,3
의료법인혜원의료재단세종병원,032-340-1119,A2100055,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,91,0,2.02E+13,Y,0,6,Y,A2100055,4
순천의료재단정병원,031-750-6003,A2100016,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,11,79,2,2.02E+13,Y,0,4,Y,A2100016,1
성남중앙병원,031-799-5366,A2100011,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,104,7,2.02E+13,Y,0,4,Y,A2100011,1
분당서울대학교병원,031-787-3119,A2100001,0,0,Y,0,0,1,0,Y,0,Y,0,0,Y,N,0,0,Y,-10,114,0,2.02E+13,Y,3,37,Y,A2100001,1
국군수도병원,031-725-6119,A2100258,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,11,177,23,2.02E+13,Y,0,9,Y,A2100258,2
대진의료재단분당제생병원,031-779-0119,A2100025,0,Y,Y,0,1,2,0,Y,0,Y,0,0,Y,N,0,0,Y,13,276,0,2.02E+13,Y,3,9,Y,A2100025,3
차의과학대학교분당차병원,031-780-5840,A2100030,0,Y,Y,0,1,3,0,Y,0,Y,0,0,Y,N,0,0,Y,-1,61,0,2.02E+13,Y,11,20,Y,A2100030,4
경기도의료원수원병원,NA,A2100032,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,16,115,9,2.02E+13,Y,0,3,Y,A2100032,1
의료법인녹산의료재단동수원병원,031-210-0119,A2100009,0,0,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,111,3,2.02E+13,Y,0,5,Y,A2100009,1
가톨릭대학교성빈센트병원,031-249-7364,A2100012,0,Y,Y,0,0,0,0,Y,4,Y,0,0,Y,N,0,1,Y,-2,188,0,2.02E+13,Y,9,19,Y,A2100012,2
아주대학교병원,031-219-7700,A2100002,0,Y,Y,0,3,0,0,Y,3,Y,0,15,Y,N,0,3,Y,3,100,0,2.02E+13,Y,7,24,Y,A2100002,1
효산의료재단안양샘병원,031-467-9119,A2100015,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,15,32,1,2.02E+13,Y,0,6,Y,A2100015,1
한림대학교성심병원,031-380-4130,A2100004,0,Y,Y,0,2,0,0,Y,0,Y,0,0,Y,N,0,0,Y,16,108,0,2.02E+13,Y,6,17,Y,A2100004,1
의료법인영동의료재단의정부백병원,031-842-1211,A2100034,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,2,34,2,2.02E+13,Y,0,3,Y,A2100034,1
가톨릭대학교의정부성모병원,031-820-5210,A2100040,0,Y,Y,0,0,0,0,Y,0,Y,0,11,Y,N,0,0,Y,31,289,0,2.02E+13,Y,10,13,Y,A2100040,2
추병원,031-845-8313,A2100150,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,68,6,2.02E+13,N,0,3,Y,A2100150,3
경기도의료원의정부병원,031-828-5119,A2100043,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,80,5,2.02E+13,Y,0,3,Y,A2100043,4
한양대학교구리병원,NA,A2100039,0,Y,Y,0,1,0,0,Y,0,Y,0,0,Y,N,0,0,Y,7,75,0,2.02E+13,Y,7,8,Y,A2100039,1
대아의료재단한도병원,031-8040-1129,A2100017,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,15,75,3,2.02E+13,Y,0,4,Y,A2100017,1
단원병원,031-8040-5911,A2100021,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,8,34,0,2.02E+13,Y,0,3,Y,A2100021,2
고려대학교의과대학부속안산병원,031-412-5381,A2100003,0,Y,Y,0,0,2,0,Y,0,Y,0,0,Y,N,0,0,Y,12,114,4,2.02E+13,Y,6,1,Y,A2100003,3
근로복지공단안산병원,031-500-1119,A2100014,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,114,11,2.02E+13,Y,0,3,Y,A2100014,1
의료법인갈렌의료재단박병원,070-4832-4733,A2100309,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,3,46,1,2.02E+13,Y,0,4,Y,A2100309,1
의료법인백송의료재단굿모닝병원,031-5182-7582,A2100028,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,36,3,2.02E+13,Y,0,6,Y,A2100028,2
의료법인박애의료재단박애병원,031-650-9219,A2100022,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,12,99,5,2.02E+13,Y,0,5,Y,A2100022,3
의료법인양진의료재단평택성모병원,070-5012-3549,A2113246,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,20,177,6,2.02E+13,Y,0,5,Y,A2113246,4
효산의료재단지샘병원,031-389-3119,A2100054,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,73,2,2.02E+13,Y,0,5,Y,A2100054,1
원광대학교산본병원,031-390-2345,A2100048,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,11,83,5,2.02E+13,Y,0,5,Y,A2100048,2
남양주한양병원,031-510-0119,A2100041,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,18,77,14,2.02E+13,Y,0,5,Y,A2100041,1
남양주나눔병원,031-570-1118,A2100044,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,28,0,2.02E+13,Y,0,5,Y,A2100044,2
현대병원,031-574-0114,A2100037,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,9,21,2,2.02E+13,Y,0,6,Y,A2100037,3
의료법인석경의료재단센트럴병원,031-8041-3019,A2100027,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,18,35,4,2.02E+13,Y,0,3,Y,A2100027,1
의료법인녹향의료재단신천연합병원,031-310-6662,A2100013,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,61,0,2.02E+13,Y,0,3,Y,A2100013,2
의료법인남촌의료재단시흥시화병원,031-8041-5819,A2100008,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,28,7,2.02E+13,Y,0,3,Y,A2100008,3
오산한국병원,031-378-5119,A2100024,0,Y,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,19,112,6,2.02E+13,Y,0,5,Y,A2100024,1
