dutyName,dutyTel3,hpid,hv1,hv10,hv11,hv12,hv2,hv3,hv4,hv5,hv6,hv7,hv8,hv9,hvamyn,hvangioayn,hvcc,hvccc,hvctayn,hvec,hvgc,hvicc,hvidate,hvmriayn,hvncc,hvoc,hvventiayn,phpid,rnum
연세대학교의과대학용인세브란스병원,031-5189-9001,A2100020,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,78,2,20200528193213,Y,4,3,Y,A2100020,69
강남병원,031-300-0129,A2100029,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,16,147,3,20200528193019,Y,0,5,Y,A2100029,70
(의)효심의료재단용인서울병원,031-322-0001,A2100122,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,140,0,20200528193350,Y,0,3,Y,A2100122,71
(의)영문의료재단다보스병원,031-8021-2130,A2100019,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,17,78,4,20200528193805,Y,0,6,Y,A2100019,72
의료법인영동의료재단의정부백병원,031-842-1211,A2100034,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,42,0,20200528193601,Y,0,3,Y,A2100034,73
가톨릭대학교의정부성모병원,031-820-5210,A2100040,0,Y,Y,0,0,0,0,Y,0,Y,0,4,Y,N,0,0,Y,27,228,2,20200528193610,Y,9,12,Y,A2100040,74
추병원,031-845-8313,A2100150,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,54,4,20200528193421,N,0,3,Y,A2100150,75
경기도의료원의정부병원,031-828-5119,A2100043,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,76,8,20200528193502,Y,0,3,Y,A2100043,76
경기도의료원이천병원,031-630-4333,A2100193,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,19,79,4,20200528193601,Y,0,4,Y,A2100193,77
경기도의료원파주병원,031-940-9129,A2100035,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,20,192,8,20200528193601,Y,0,3,Y,A2100035,78
의료법인갈렌의료재단박병원,070-4832-4733,A2100309,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,44,2,20200528193533,Y,0,4,Y,A2100309,79
의료법인백송의료재단굿모닝병원,031-5182-7582,A2100028,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,57,4,20200528193402,Y,0,6,Y,A2100028,80
의료법인박애의료재단박애병원,031-650-9219,A2100022,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,101,5,20200528193458,Y,0,5,Y,A2100022,81
의료법인양진의료재단평택성모병원,070-5012-3549,A2113246,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,163,5,20200528193630,Y,0,5,Y,A2113246,82
의료법인일심의료재단우리병원,031-542-0222,A2100036,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,12,65,9,20200528193219,Y,0,4,Y,A2100036,83
경기도의료원포천병원,031-539-9119,A2100031,0,0,Y,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,20,129,9,20200528193502,Y,0,4,Y,A2100031,84
화성디에스병원,031-5180-7777,A2116761,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,57,0,20200528193210,Y,0,3,Y,A2116761,85
한림대학교동탄성심병원,031-8086-2119,A2100046,0,Y,Y,0,4,1,0,Y,0,Y,0,0,Y,N,2,0,Y,17,234,0,20200528193330,Y,0,14,Y,A2100046,86
의료법인은혜와감사의료재단화성중앙종합병원,031-371-7998,A2100018,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,48,2,20200528194011,Y,0,2,Y,A2100018,87
의료법인원광의료재단원광종합병원,031-8077-7219,A2115699,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,96,1,20200528193200,Y,0,2,Y,A2115699,88
의료법인거붕백병원,055-733-0180,A2800008,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,20,3,20200528193535,Y,0,4,Y,A2800008,89
의료법인대우의료재단대우병원,055-680-8119,A2800005,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,70,3,20200528193312,Y,0,4,Y,A2800005,90
의료법인성념의료재단맑은샘병원,055-736-0119,A2800022,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,1,0,20200528193255,Y,0,2,Y,A2800022,91
강병원,055-673-4848,A2800032,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,41,0,20200528193436,Y,0,2,Y,A2800032,92
강일병원,055-822-0119,A2803677,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,6,21,0,20200528193514,Y,0,3,Y,A2803677,93
의료법인환명의료재단조은금강병원,055-330-0200,A2800010,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,6,69,4,20200528193544,Y,0,0,Y,A2800010,94
의료법인보원의료재단경희의료원교육협력중앙병원,055-330-6117,A2800016,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,59,11,20200528193500,Y,0,9,Y,A2800016,95
의료법인갑을의료재단갑을장유병원,055-310-6119,A2800014,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,19,36,0,20200528193203,Y,0,4,Y,A2800014,96
의료법인숭인의료재단김해복음병원,055-330-8844,A2800006,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,11,59,0,20200528193209,Y,0,3,Y,A2800006,97
의료법인이도의료재단남해병원,055-860-6630,A2800094,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,61,0,20200528192716,Y,0,2,Y,A2800094,98
의료법인생명사랑의료재단밀양윤병원,070-5130-3823,A2800057,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,9,55,0,20200528194006,Y,0,2,Y,A2800057,99
의료법인승연의료재단 삼천포서울병원,055-830-9019,A2800068,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,19,0,20200528193424,Y,0,2,Y,A2800068,100
삼천포제일병원,055-830-3099,A2800101,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,122,0,20200528193616,Y,0,2,Y,A2800101,101
양산부산대학교병원,055-360-1467,A2800011,0,Y,Y,0,2,8,0,Y,2,Y,0,0,Y,N,0,2,Y,3,150,0,20200528193327,Y,5,23,Y,A2800011,102
웅상중앙병원,055-912-0119,A2803301,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,101,2,20200528193254,Y,0,3,Y,A2803301,103
베데스다병원,055-781-9911,A2800019,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,87,0,20200528193554,Y,0,4,Y,A2800019,104
의령병원,055-573-6806,A2800090,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,5,38,0,20200528193539,N1,0,0,Y,A2800090,105
경상대학교병원,055-750-8282,A2800001,0,Y,Y,0,2,3,0,Y,0,Y,0,0,Y,N,0,0,Y,6,136,0,20200528193600,Y,12,13,Y,A2800001,106
반도병원,055-749-0200,A2800084,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,43,0,20200528193009,Y,0,3,Y,A2800084,107
진주고려병원,055-751-2525,A2800015,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,8,91,1,20200528193952,Y,0,3,Y,A2800015,108
한일병원,055-750-1333,A2800043,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,5,0,20200528193447,Y,0,2,Y,A2800043,109
진주복음병원,055-749-7119,A2800037,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,41,0,20200528174603,Y,0,3,Y,A2800037,110
제일병원,055-750-7119,A2800003,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,14,43,3,20200528193431,Y,0,1,Y,A2800003,111
태황의료재단한성병원,055-530-5119,A2800062,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,44,0,20200528193419,Y,0,2,Y,A2800062,112
경상남도마산의료원,055-249-1119,A2800025,0,0,N,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,11,241,6,20200528193002,Y,0,5,Y,A2800025,113
의료법인합포의료재단에스엠지연세병원,055-240-7777,A2800017,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,11,72,9,20200528193618,Y,0,4,Y,A2800017,114
의료법인청아의료재단청아병원,055-230-1700,A2800009,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,99,0,20200528193435,Y,0,3,Y,A2800009,115
학교법인성균관대학삼성창원병원,055-233-6119,A2800020,0,Y,Y,0,2,2,0,Y,0,Y,0,0,Y,N,0,0,Y,13,51,0,20200528193515,Y,13,15,Y,A2800020,116
창원경상대학교병원,055-214-1339,A2803505,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,16,130,4,20200528193600,Y,11,12,Y,A2803505,117
의료법인한마음국제의료재단한마음창원병원,055-268-7333,A2800007,0,0,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,14,82,5,20200528193608,Y,0,5,Y,A2800007,118
근로복지공단 창원병원,055-280-0400,A2800012,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,3,148,5,20200528193400,Y,0,3,Y,A2800012,119
재단법인대구포교성베네딕도수녀회창원파티마병원,055-270-1119,A2800004,0,Y,Y,0,7,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,94,0,20200528193456,Y,2,7,Y,A2800004,120
연세에스병원,055-548-7789,A2800021,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,7,80,5,20200528193626,Y,0,3,Y,A2800021,121
새통영병원,055-640-4119,A2800092,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,5,33,0,20200528193327,N,0,2,Y,A2800092,122
함양성심병원,055-964-4322,A2800080,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,5,21,0,20200528193505,N1,0,1,Y,A2800080,123
삼성합천병원,070-5125-5030,A2800055,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,4,8,0,20200528193501,Y,0,2,Y,A2800055,124
의)근원의료재단경산중앙병원,053-715-0119,A2700019,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,109,5,20200528193502,Y,0,4,Y,A2700019,125
의료법인서명의료재단세명병원,053-819-8500,A2700036,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,12,93,0,20200528192725,Y,0,5,Y,A2700036,126
동국대학교의과대학경주병원,054-776-8306,A2700003,0,Y,Y,0,3,3,0,Y,0,Y,0,0,Y,N,0,0,Y,7,45,0,20200528193502,Y,0,4,Y,A2700003,127
의료법인고령영생병원,070-7475-0024,A2700070,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,34,0,20200528193628,N1,0,1,Y,A2700070,128
순천향대학교부속구미병원,054-468-9119,A2700013,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,7,92,8,20200528193521,Y,0,6,Y,A2700013,129
차의과학대학교부속구미차병원,054-450-9997,A2700007,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,18,24,0,20200528193504,Y,6,6,Y,A2700007,130
구미강동병원,054-478-9521,A2700015,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,79,0,20200528162847,Y,0,5,Y,A2700015,131
경상북도김천의료원,054-429-8234,A2700018,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,84,0,20200528193003,Y,0,5,Y,A2700018,132
의료법인덕산의료재단김천제일병원,054-420-9500,A2700012,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,14,51,10,20200528193149,Y,0,4,Y,A2700012,133
의료법인동춘의료재단문경제일병원,054-550-7777,A2700006,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,18,52,3,20200528193500,Y,0,3,Y,A2700006,134
의료법인서일의료재단문경중앙병원,054-554-3119,A2700067,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,3,33,0,20200528193234,N1,0,1,Y,A2700067,135
의료법인삼백의료재단상주성모병원,054-530-7811,A2700009,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,24,3,20200528193603,Y,0,3,Y,A2700009,136
상주적십자병원,054-530-3171,A2700011,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,96,8,20200528193252,Y,0,3,Y,A2700011,137
의료법인석촌의료재단성주무강병원,054-932-1909,A2700030,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,39,0,20200528193543,N1,0,1,Y,A2700030,138
안동성소병원,054-850-8282,A2700004,0,0,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,14,169,8,20200528193608,Y,0,6,Y,A2700004,139
의료법인안동병원,054-840-0119,A2700014,0,Y,Y,0,0,0,0,Y,0,Y,0,2,Y,N,0,0,Y,11,192,0,20200528193234,Y,10,10,Y,A2700014,140
경상북도안동의료원,,A2700001,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,5,207,15,20200528193502,Y,0,3,Y,A2700001,141
영주기독병원,054-635-3050,A2700031,0,0,Y,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,4,0,0,20200528193251,N1,0,1,Y,A2700031,142
영주적십자병원,054-630-0112,A2702752,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,106,7,20200528193329,Y,0,2,Y,A2702752,143
영남대학교의과대학부속영천병원,054-330-7575,A2700017,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,30,2,20200528193609,Y,0,4,Y,A2700017,144
예천권병원,054-653-8912,A2700023,0,0,Y,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,63,0,20200528193518,Y,0,2,Y,A2700023,145
울릉군보건의료원,054-790-6911,E2700553,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,4,0,0,20200528193035,N1,0,1,Y,E2700553,146
울진군의료원,054-785-7119,A2700052,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,42,0,20200528193502,Y,0,3,Y,A2700052,147
의료법인영제의료재단 영남제일병원,054-861-9111,A2700063,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,2,27,0,20200528184822,N1,0,1,Y,A2700063,148
의료법인대남의료재단청도대남병원,,A2700038,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,101,0,20200528193514,Y,0,1,Y,A2700038,149
청송군보건의료원,054-870-7119,E2700554,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,0,0,N1,6,0,0,20200528193535,N1,0,0,Y,E2700554,150
포항성모병원,054-272-0151,A2700016,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,64,4,20200528193411,Y,0,9,Y,A2700016,151
