criterion,dutyName.x.x,dutyTel3,hpid,hv1,hv10,hv11,hv12,hv2,hv3,hv4,hv5,hv6,hv7,hv8,hv9,hvamyn,hvangioayn,hvcc,hvccc,hvctayn,hvec,hvgc,hvicc,hvidate,hvmriayn,hvncc,hvoc,hvventiayn,phpid,rnum,dutyName.y,mkioskty25,mkioskty1,mkioskty2,mkioskty3,mkioskty4,mkioskty5,mkioskty6,mkioskty7,mkioskty8,mkioskty9,mkioskty10,mkioskty11,dutyName.x.y,score
3,차의과학대학교분당차병원,031-780-5840,A2100030,0,Y,Y,0,0,1,0,Y,1,Y,0,0,Y,N,0,0,Y,3,94,0,2.02E+13,Y,6,20,Y,A2100030,45,차의과학대학교분당차병원,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,차의과학대학교분당차병원,177.9241797
2,순천의료재단정병원,031-750-6003,A2100016,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,12,84,2,2.02E+13,Y,0,5,Y,A2100016,46,순천의료재단정병원,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,순천의료재단정병원,66.5839632
3,성남중앙병원,031-799-5366,A2100011,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,108,2,2.02E+13,Y,0,4,Y,A2100011,47,성남중앙병원,Y,N,N,Y,Y,N,Y,N,N,Y,N,N,성남중앙병원,62.75681618
2,아주대학교병원,031-219-7700,A2100002,0,Y,Y,0,4,2,0,Y,1,Y,0,15,Y,N,0,3,Y,8,109,0,2.02E+13,Y,5,25,Y,A2100002,48,아주대학교병원,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,아주대학교병원,200.8521377
3,의료법인녹산의료재단동수원병원,031-210-0119,A2100009,0,0,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,15,104,5,2.02E+13,Y,0,5,Y,A2100009,50,의료법인녹산의료재단동수원병원,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,의료법인녹산의료재단동수원병원,104.9584651
2,가톨릭대학교성빈센트병원,031-249-7364,A2100012,0,Y,Y,0,3,0,0,Y,1,Y,0,0,Y,N,0,1,Y,6,186,0,2.02E+13,Y,9,18,Y,A2100012,51,가톨릭대학교성빈센트병원,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,가톨릭대학교성빈센트병원,193.0641472
3,의료법인석경의료재단센트럴병원,031-8041-3019,A2100027,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,20,41,6,2.02E+13,Y,0,3,Y,A2100027,52,의료법인석경의료재단센트럴병원,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,의료법인석경의료재단센트럴병원,61.73837826
2,의료법인녹향의료재단신천연합병원,031-310-6662,A2100013,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,59,1,2.02E+13,Y,0,3,Y,A2100013,53,의료법인녹향의료재단신천연합병원,N,N,N,N,Y,N,Y,N,Y,N,N,N,의료법인녹향의료재단신천연합병원,56.91473797
2,의료법인남촌의료재단시흥시화병원,031-8041-5819,A2100008,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,22,8,2.02E+13,Y,0,3,Y,A2100008,54,의료법인남촌의료재단시흥시화병원,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,의료법인남촌의료재단시흥시화병원,54.4485658
3,대아의료재단한도병원,031-8040-1129,A2100017,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,17,83,5,2.02E+13,Y,0,4,Y,A2100017,55,대아의료재단한도병원,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,대아의료재단한도병원,90.24943862
3,단원병원,031-8040-5911,A2100021,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,9,3,2.02E+13,Y,0,3,Y,A2100021,56,단원병원,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,단원병원,83.90020897
3,고려대학교의과대학부속안산병원,031-412-5381,A2100003,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,11,113,4,2.02E+13,Y,6,0,Y,A2100003,57,고려대학교의과대학부속안산병원,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,고려대학교의과대학부속안산병원,163.5092244
3,근로복지공단안산병원,031-500-1119,A2100014,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,113,9,2.02E+13,Y,0,3,Y,A2100014,58,근로복지공단안산병원,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,근로복지공단안산병원,69.47641696
1,한림대학교성심병원,031-380-4130,A2100004,0,Y,Y,0,4,0,0,Y,0,Y,0,0,Y,N,0,3,Y,14,91,0,2.02E+13,Y,8,18,Y,A2100004,61,한림대학교성심병원,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,한림대학교성심병원,186.1900265
2,효산의료재단안양샘병원,031-467-9119,A2100015,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,14,45,0,2.02E+13,Y,0,6,Y,A2100015,62,효산의료재단안양샘병원,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,효산의료재단안양샘병원,88.75948744
3,오산한국병원,031-378-5119,A2100024,0,Y,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,14,141,6,2.02E+13,Y,0,5,Y,A2100024,67,오산한국병원,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,오산한국병원,114.7492619
2,조은오산병원,031-373-8119,A2114449,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,120,0,2.02E+13,Y,0,4,N1,A2114449,68,조은오산병원,Y,N,Y,N,Y,N,Y,Y,Y,N,N,N,조은오산병원,62.34097687
2,연세대학교의과대학용인세브란스병원,031-5189-9001,A2100020,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,78,2,2.02E+13,Y,4,3,Y,A2100020,69,연세대학교의과대학용인세브란스병원,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,연세대학교의과대학용인세브란스병원,121.4756
2,강남병원,031-300-0129,A2100029,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,16,147,3,2.02E+13,Y,0,5,Y,A2100029,70,강남병원,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,강남병원,79.28094775
2,(의)영문의료재단다보스병원,031-8021-2130,A2100019,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,17,78,4,2.02E+13,Y,0,6,Y,A2100019,72,의,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,(의)영문의료재단다보스병원,66.57155313
2,의료법인영동의료재단의정부백병원,031-842-1211,A2100034,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,42,0,2.02E+13,Y,0,3,Y,A2100034,73,의료법인영동의료재단의정부백병원,Y,N,N,N,Y,N,Y,N,Y,N,N,N,의료법인영동의료재단의정부백병원,55.76918125
1,가톨릭대학교의정부성모병원,031-820-5210,A2100040,0,Y,Y,0,0,0,0,Y,0,Y,0,4,Y,N,0,0,Y,27,228,2,2.02E+13,Y,9,12,Y,A2100040,74,가톨릭대학교의정부성모병원,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,가톨릭대학교의정부성모병원,166.6846622
2,추병원,031-845-8313,A2100150,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,54,4,2.02E+13,N,0,3,Y,A2100150,75,추병원,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,추병원,77.495815
2,경기도의료원이천병원,031-630-4333,A2100193,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,19,79,4,2.02E+13,Y,0,4,Y,A2100193,77,경기도의료원이천병원,N,N,N,Y,Y,N,Y,N,Y,N,N,N,경기도의료원이천병원,68.32748619
1,경기도의료원파주병원,031-940-9129,A2100035,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,20,192,8,2.02E+13,Y,0,3,Y,A2100035,78,경기도의료원파주병원,N,N,N,N,Y,N,Y,N,Y,N,N,N,경기도의료원파주병원,65.99626743
1,의료법인갈렌의료재단박병원,070-4832-4733,A2100309,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,6,44,2,2.02E+13,Y,0,4,Y,A2100309,79,의료법인갈렌의료재단박병원,Y,N,N,Y,Y,N,N,Y,N,N,N,N,의료법인갈렌의료재단박병원,58.66780817
3,의료법인백송의료재단굿모닝병원,031-5182-7582,A2100028,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,57,4,2.02E+13,Y,0,6,Y,A2100028,80,의료법인백송의료재단굿모닝병원,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,의료법인백송의료재단굿모닝병원,89.45972233
1,의료법인박애의료재단박애병원,031-650-9219,A2100022,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,101,5,2.02E+13,Y,0,5,Y,A2100022,81,의료법인박애의료재단박애병원,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,의료법인박애의료재단박애병원,76.10533065
1,경기도의료원포천병원,031-539-9119,A2100031,0,0,Y,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,20,129,9,2.02E+13,Y,0,4,Y,A2100031,84,경기도의료원포천병원,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,경기도의료원포천병원,105.942596
3,한림대학교동탄성심병원,031-8086-2119,A2100046,0,Y,Y,0,4,1,0,Y,0,Y,0,0,Y,N,2,0,Y,17,234,0,2.02E+13,Y,0,14,Y,A2100046,86,한림대학교동탄성심병원,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,한림대학교동탄성심병원,182.4411048
1,의료법인은혜와감사의료재단화성중앙종합병원,031-371-7998,A2100018,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,48,2,2.02E+13,Y,0,2,Y,A2100018,87,의료법인은혜와감사의료재단화성중앙종합병원,Y,N,N,N,Y,N,Y,Y,N,N,N,N,의료법인은혜와감사의료재단화성중앙종합병원,53.84925171
2,의료법인거붕백병원,055-733-0180,A2800008,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,20,3,2.02E+13,Y,0,4,Y,A2800008,89,의료법인거붕백병원,Y,N,N,N,Y,N,Y,N,Y,N,N,N,의료법인거붕백병원,55.1822838
3,의료법인대우의료재단대우병원,055-680-8119,A2800005,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,10,70,3,2.02E+13,Y,0,4,Y,A2800005,90,의료법인대우의료재단대우병원,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,의료법인대우의료재단대우병원,59.08099538
2,의료법인성념의료재단맑은샘병원,055-736-0119,A2800022,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,1,0,2.02E+13,Y,0,2,Y,A2800022,91,의료법인성념의료재단맑은샘병원,N,N,N,N,Y,N,Y,N,N,Y,N,N,의료법인성념의료재단맑은샘병원,45.07911514
3,강일병원,055-822-0119,A2803677,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,6,21,0,2.02E+13,Y,0,3,Y,A2803677,93,강일병원,N,N,N,N,Y,N,N,Y,Y,N,N,N,강일병원,65.30827884
1,의료법인환명의료재단조은금강병원,055-330-0200,A2800010,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,6,69,4,2.02E+13,Y,0,0,Y,A2800010,94,의료법인환명의료재단조은금강병원,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,의료법인환명의료재단조은금강병원,88.28670334
1,의료법인보원의료재단경희의료원교육협력중앙병원,055-330-6117,A2800016,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,13,59,11,2.02E+13,Y,0,9,Y,A2800016,95,의료법인보원의료재단경희의료원교육협력중앙병원,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,의료법인보원의료재단경희의료원교육협력중앙병원,125.384375
1,의료법인갑을의료재단갑을장유병원,055-310-6119,A2800014,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,19,36,0,2.02E+13,Y,0,4,Y,A2800014,96,의료법인갑을의료재단갑을장유병원,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,의료법인갑을의료재단갑을장유병원,62.20490317
2,의료법인숭인의료재단김해복음병원,055-330-8844,A2800006,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,11,59,0,2.02E+13,Y,0,3,Y,A2800006,97,의료법인숭인의료재단김해복음병원,N,N,N,N,Y,N,N,N,Y,Y,N,N,의료법인숭인의료재단김해복음병원,51.47714349
1,의료법인생명사랑의료재단밀양윤병원,070-5130-3823,A2800057,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,9,55,0,2.02E+13,Y,0,2,Y,A2800057,99,의료법인생명사랑의료재단밀양윤병원,N,N,N,N,Y,Y,N,N,Y,Y,N,N,의료법인생명사랑의료재단밀양윤병원,71.50003162
2,의료법인승연의료재단 삼천포서울병원,055-830-9019,A2800068,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,19,0,2.02E+13,Y,0,2,Y,A2800068,100,의료법인승연의료재단,N,N,N,N,Y,N,Y,Y,Y,Y,N,N,의료법인승연의료재단 삼천포서울병원,59.16655218
1,삼천포제일병원,055-830-3099,A2800101,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,8,122,0,2.02E+13,Y,0,2,Y,A2800101,101,삼천포제일병원,N,N,N,N,Y,N,N,N,Y,Y,N,N,삼천포제일병원,54.74826901
2,양산부산대학교병원,055-360-1467,A2800011,0,Y,Y,0,2,8,0,Y,2,Y,0,0,Y,N,0,2,Y,3,150,0,2.02E+13,Y,5,23,Y,A2800011,102,양산부산대학교병원,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,양산부산대학교병원,194.2238839
#N/A,웅상중앙병원,055-912-0119,A2803301,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,101,2,2.02E+13,Y,0,3,Y,A2803301,103,웅상중앙병원,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,웅상중앙병원,95.6186967
1,베데스다병원,055-781-9911,A2800019,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,9,87,0,2.02E+13,Y,0,4,Y,A2800019,104,베데스다병원,N,N,N,N,Y,N,N,N,N,N,N,N,베데스다병원,46.86745742
2,경상대학교병원,055-750-8282,A2800001,0,Y,Y,0,2,3,0,Y,0,Y,0,0,Y,N,0,0,Y,6,136,0,2.02E+13,Y,12,13,Y,A2800001,106,경상대학교병원,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,경상대학교병원,180.6894375
2,반도병원,055-749-0200,A2800084,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,43,0,2.02E+13,Y,0,3,Y,A2800084,107,반도병원,N,N,N,N,Y,N,N,N,N,Y,N,N,반도병원,43.09632389
2,진주고려병원,055-751-2525,A2800015,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,8,91,1,2.02E+13,Y,0,3,Y,A2800015,108,진주고려병원,Y,N,N,N,Y,Y,N,N,N,N,N,N,진주고려병원,67.44162532
1,한일병원,055-750-1333,A2800043,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,10,5,0,2.02E+13,Y,0,2,Y,A2800043,109,한일병원,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,한일병원,72.33719717
1,진주복음병원,055-749-7119,A2800037,0,0,0,0,0,0,0,Y,0,0,0,0,Y,N,0,0,Y,7,41,0,2.02E+13,Y,0,3,Y,A2800037,110,진주복음병원,N,N,N,N,Y,N,N,N,Y,Y,N,N,진주복음병원,50.19645521
2,제일병원,055-750-7119,A2800003,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,14,43,3,2.02E+13,Y,0,1,Y,A2800003,111,제일병원,N,N,Y,N,Y,Y,Y,N,Y,Y,N,N,제일병원,76.08395259
#N/A,의료법인합포의료재단에스엠지연세병원,055-240-7777,A2800017,0,0,0,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,11,72,9,2.02E+13,Y,0,4,Y,A2800017,114,의료법인합포의료재단에스엠지연세병원,Y,N,N,Y,Y,Y,N,N,N,Y,N,N,의료법인합포의료재단에스엠지연세병원,76.07187107
2,학교법인성균관대학삼성창원병원,055-233-6119,A2800020,0,Y,Y,0,2,2,0,Y,0,Y,0,0,Y,N,0,0,Y,13,51,0,2.02E+13,Y,13,15,Y,A2800020,116,학교법인성균관대학삼성창원병원,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,학교법인성균관대학삼성창원병원,168.4897376
2,창원경상대학교병원,055-214-1339,A2803505,0,Y,Y,0,0,0,0,Y,0,Y,0,0,Y,N,0,0,Y,16,130,4,2.02E+13,Y,11,12,Y,A2803505,117,창원경상대학교병원,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,창원경상대학교병원,156.8296688
