"","dutyName.x.x","dutyTel3","hpid","hv1","hv10","hv11","hv12","hv2","hv3","hv4","hv5","hv6","hv7","hv8","hv9","hvamyn","hvangioayn","hvcc","hvccc","hvctayn","hvec","hvgc","hvicc","hvidate","hvmriayn","hvncc","hvoc","hvventiayn","phpid","rnum","dutyName.y","mkioskty25","mkioskty1","mkioskty2","mkioskty3","mkioskty4","mkioskty5","mkioskty6","mkioskty7","mkioskty8","mkioskty9","mkioskty10","mkioskty11","dutyName.x.y","score"
"35","성남중앙병원","031-799-5366","A2100011",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",8,108,2,20200528193328,"Y",0,4,"Y","A2100011",47,"성남중앙병원","Y","N","N","Y","Y","N","Y","N","N","Y","N","N","성남중앙병원",85.4650278423228
"36","아주대학교병원","031-219-7700","A2100002",0,"Y","Y",0,4,2,0,"Y",1,"Y",0,15,"Y","N",0,3,"Y",8,109,0,20200528193457,"Y",5,25,"Y","A2100002",48,"아주대학교병원","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","N","Y","아주대학교병원",139.359766349474
"37","의료법인녹산의료재단동수원병원","031-210-0119","A2100009",0,"0","Y",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",15,104,5,20200528193322,"Y",0,5,"Y","A2100009",50,"의료법인녹산의료재단동수원병원","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","N","의료법인녹산의료재단동수원병원",101.935150122576
"38","가톨릭대학교성빈센트병원","031-249-7364","A2100012",0,"Y","Y",0,3,0,0,"Y",1,"Y",0,0,"Y","N",0,1,"Y",6,186,0,20200528193610,"Y",9,18,"Y","A2100012",51,"가톨릭대학교성빈센트병원","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","가톨릭대학교성빈센트병원",136.320331643398
"39","의료법인석경의료재단센트럴병원","031-8041-3019","A2100027",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",20,41,6,20200528193334,"Y",0,3,"Y","A2100027",52,"의료법인석경의료재단센트럴병원","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","의료법인석경의료재단센트럴병원",85.0675600297488
"40","의료법인녹향의료재단신천연합병원","031-310-6662","A2100013",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",7,59,1,20200528193824,"Y",0,3,"Y","A2100013",53,"의료법인녹향의료재단신천연합병원","N","N","N","N","Y","N","Y","N","Y","N","N","N","의료법인녹향의료재단신천연합병원",83.185028244763
"41","의료법인남촌의료재단시흥시화병원","031-8041-5819","A2100008",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",6,22,8,20200528193635,"Y",0,3,"Y","A2100008",54,"의료법인남촌의료재단시흥시화병원","Y","N","N","N","Y","N","Y","N","Y","Y","N","N","의료법인남촌의료재단시흥시화병원",82.2225502773905
"42","대아의료재단한도병원","031-8040-1129","A2100017",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",17,83,5,20200528192529,"Y",0,4,"Y","A2100017",55,"대아의료재단한도병원","Y","N","Y","Y","Y","Y","Y","N","Y","N","N","N","대아의료재단한도병원",96.1946288258927
"43","단원병원","031-8040-5911","A2100021",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",13,9,3,20200528193426,"Y",0,3,"Y","A2100021",56,"단원병원","Y","N","N","Y","Y","Y","Y","N","Y","N","N","N","단원병원",93.716702213925
"44","고려대학교의과대학부속안산병원","031-412-5381","A2100003",0,"Y","Y",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",11,113,4,20200528193600,"Y",6,0,"Y","A2100003",57,"고려대학교의과대학부속안산병원","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","고려대학교의과대학부속안산병원",124.785872577789
"45","근로복지공단안산병원","031-500-1119","A2100014",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",7,113,9,20200528193400,"Y",0,3,"Y","A2100014",58,"근로복지공단안산병원","Y","N","N","Y","Y","N","Y","N","Y","Y","N","N","근로복지공단안산병원",88.087499934495
"46","한림대학교성심병원","031-380-4130","A2100004",0,"Y","Y",0,4,0,0,"Y",0,"Y",0,0,"Y","N",0,3,"Y",14,91,0,20200528193358,"Y",8,18,"Y","A2100004",61,"한림대학교성심병원","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","한림대학교성심병원",133.63755478215
"47","효산의료재단안양샘병원","031-467-9119","A2100015",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",14,45,0,20200528193544,"Y",0,6,"Y","A2100015",62,"효산의료재단안양샘병원","N","N","N","Y","Y","Y","Y","N","Y","Y","N","N","효산의료재단안양샘병원",95.6131425863191
"48","오산한국병원","031-378-5119","A2100024",0,"Y","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",14,141,6,20200528193058,"Y",0,5,"Y","A2100024",67,"오산한국병원","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","N","N","오산한국병원",105.756224080905
"49","조은오산병원","031-373-8119","A2114449",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",10,120,0,20200528193518,"Y",0,4,"N1","A2114449",68,"조은오산병원","Y","N","Y","N","Y","N","Y","Y","Y","N","N","N","조은오산병원",85.3027373981136
"50","연세대학교의과대학용인세브란스병원","031-5189-9001","A2100020",0,"Y","Y",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",13,78,2,20200528193213,"Y",4,3,"Y","A2100020",69,"연세대학교의과대학용인세브란스병원","N","N","N","Y","Y","Y","Y","Y","Y","Y","N","N","연세대학교의과대학용인세브란스병원",108.381325555689
"51","강남병원","031-300-0129","A2100029",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",16,147,3,20200528193019,"Y",0,5,"Y","A2100029",70,"강남병원","Y","N","N","Y","Y","N","Y","Y","Y","Y","N","N","강남병원",91.9139338613133
"52","(의)영문의료재단다보스병원","031-8021-2130","A2100019",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",17,78,4,20200528193805,"Y",0,6,"Y","A2100019",72,"의","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","(의)영문의료재단다보스병원",86.953812895385
"53","의료법인영동의료재단의정부백병원","031-842-1211","A2100034",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",6,42,0,20200528193601,"Y",0,3,"Y","A2100034",73,"의료법인영동의료재단의정부백병원","Y","N","N","N","Y","N","Y","N","Y","N","N","N","의료법인영동의료재단의정부백병원",82.7379495207102
"54","가톨릭대학교의정부성모병원","031-820-5210","A2100040",0,"Y","Y",0,0,0,0,"Y",0,"Y",0,4,"Y","N",0,0,"Y",27,228,2,20200528193610,"Y",9,12,"Y","A2100040",74,"가톨릭대학교의정부성모병원","N","Y","Y","N","Y","N","Y","Y","Y","Y","Y","Y","가톨릭대학교의정부성모병원",126.025157058032
"55","추병원","031-845-8313","A2100150",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",10,54,4,20200528193421,"N",0,3,"Y","A2100150",75,"추병원","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","N","추병원",91.2172465155359
"56","경기도의료원이천병원","031-630-4333","A2100193",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",19,79,4,20200528193601,"Y",0,4,"Y","A2100193",77,"경기도의료원이천병원","N","N","N","Y","Y","N","Y","N","Y","N","N","N","경기도의료원이천병원",87.6391044166856
"57","경기도의료원파주병원","031-940-9129","A2100035",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",20,192,8,20200528193601,"Y",0,3,"Y","A2100035",78,"경기도의료원파주병원","N","N","N","N","Y","N","Y","N","Y","N","N","N","경기도의료원파주병원",86.7292949868419
"58","의료법인갈렌의료재단박병원","070-4832-4733","A2100309",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",6,44,2,20200528193533,"Y",0,4,"Y","A2100309",79,"의료법인갈렌의료재단박병원","Y","N","N","Y","Y","N","N","Y","N","N","N","N","의료법인갈렌의료재단박병원",83.8692024703368
"59","의료법인백송의료재단굿모닝병원","031-5182-7582","A2100028",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",10,57,4,20200528193402,"Y",0,6,"Y","A2100028",80,"의료법인백송의료재단굿모닝병원","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","N","의료법인백송의료재단굿모닝병원",95.8864246633871
"60","의료법인박애의료재단박애병원","031-650-9219","A2100022",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",10,101,5,20200528193458,"Y",0,5,"Y","A2100022",81,"의료법인박애의료재단박애병원","Y","N","N","Y","Y","N","Y","Y","Y","N","N","N","의료법인박애의료재단박애병원",90.6745793982921
"61","경기도의료원포천병원","031-539-9119","A2100031",0,"0","Y",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",20,129,9,20200528193502,"Y",0,4,"Y","A2100031",84,"경기도의료원포천병원","N","Y","N","N","Y","N","Y","N","Y","N","Y","N","경기도의료원포천병원",102.31922888563
"62","한림대학교동탄성심병원","031-8086-2119","A2100046",0,"Y","Y",0,4,1,0,"Y",0,"Y",0,0,"Y","N",2,0,"Y",17,234,0,20200528193330,"Y",0,14,"Y","A2100046",86,"한림대학교동탄성심병원","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","N","한림대학교동탄성심병원",132.174455582621
"63","의료법인은혜와감사의료재단화성중앙종합병원","031-371-7998","A2100018",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",7,48,2,20200528194011,"Y",0,2,"Y","A2100018",87,"의료법인은혜와감사의료재단화성중앙종합병원","Y","N","N","N","Y","N","Y","Y","N","N","N","N","의료법인은혜와감사의료재단화성중앙종합병원",81.9886547642099
"64","의료법인거붕백병원","055-733-0180","A2800008",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",8,20,3,20200528193535,"Y",0,4,"Y","A2800008",89,"의료법인거붕백병원","Y","N","N","N","Y","N","Y","N","Y","N","N","N","의료법인거붕백병원",82.508899876583
"65","의료법인대우의료재단대우병원","055-680-8119","A2800005",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",10,70,3,20200528193312,"Y",0,4,"Y","A2800005",90,"의료법인대우의료재단대우병원","Y","N","Y","N","Y","N","Y","N","Y","Y","N","N","의료법인대우의료재단대우병원",84.0304578730425
"66","의료법인성념의료재단맑은샘병원","055-736-0119","A2800022",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",9,1,0,20200528193255,"Y",0,2,"Y","A2800022",91,"의료법인성념의료재단맑은샘병원","N","N","N","N","Y","N","Y","N","N","Y","N","N","의료법인성념의료재단맑은샘병원",78.5659159468994
"67","강일병원","055-822-0119","A2803677",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",6,21,0,20200528193514,"Y",0,3,"Y","A2803677",93,"강일병원","N","N","N","N","Y","N","N","Y","Y","N","N","N","강일병원",86.4607922973618
"68","의료법인환명의료재단조은금강병원","055-330-0200","A2800010",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",6,69,4,20200528193544,"Y",0,0,"Y","A2800010",94,"의료법인환명의료재단조은금강병원","Y","N","N","N","Y","Y","Y","N","Y","Y","N","Y","의료법인환명의료재단조은금강병원",95.4286281853632
"69","의료법인보원의료재단경희의료원교육협력중앙병원","055-330-6117","A2800016",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",13,59,11,20200528193500,"Y",0,9,"Y","A2800016",95,"의료법인보원의료재단경희의료원교육협력중앙병원","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","의료법인보원의료재단경희의료원교육협력중앙병원",109.906811029
"70","의료법인갑을의료재단갑을장유병원","055-310-6119","A2800014",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",19,36,0,20200528193203,"Y",0,4,"Y","A2800014",96,"의료법인갑을의료재단갑을장유병원","Y","N","N","N","Y","N","Y","Y","Y","Y","N","N","의료법인갑을의료재단갑을장유병원",85.2496316407505
"71","의료법인숭인의료재단김해복음병원","055-330-8844","A2800006",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",11,59,0,20200528193209,"Y",0,3,"Y","A2800006",97,"의료법인숭인의료재단김해복음병원","N","N","N","N","Y","N","N","N","Y","Y","N","N","의료법인숭인의료재단김해복음병원",81.062887324815
"72","의료법인생명사랑의료재단밀양윤병원","070-5130-3823","A2800057",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",9,55,0,20200528194006,"Y",0,2,"Y","A2800057",99,"의료법인생명사랑의료재단밀양윤병원","N","N","N","N","Y","Y","N","N","Y","Y","N","N","의료법인생명사랑의료재단밀양윤병원",88.8772600939335
"73","의료법인승연의료재단 삼천포서울병원","055-830-9019","A2800068",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",7,19,0,20200528193424,"Y",0,2,"Y","A2800068",100,"의료법인승연의료재단","N","N","N","N","Y","N","Y","Y","Y","Y","N","N","의료법인승연의료재단 삼천포서울병원",84.063848299032
"74","삼천포제일병원","055-830-3099","A2800101",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",8,122,0,20200528193616,"Y",0,2,"Y","A2800101",101,"삼천포제일병원","N","N","N","N","Y","N","N","N","Y","Y","N","N","삼천포제일병원",82.3395160505167
"75","양산부산대학교병원","055-360-1467","A2800011",0,"Y","Y",0,2,8,0,"Y",2,"Y",0,0,"Y","N",0,2,"Y",3,150,0,20200528193327,"Y",5,23,"Y","A2800011",102,"양산부산대학교병원","Y","Y","N","Y","Y","Y","Y","N","Y","Y","Y","N","양산부산대학교병원",136.772944419092
"76","웅상중앙병원","055-912-0119","A2803301",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",10,101,2,20200528193254,"Y",0,3,"Y","A2803301",103,"웅상중앙병원","Y","N","N","Y","Y","Y","Y","Y","Y","Y","N","N","웅상중앙병원",98.290099961474
"77","베데스다병원","055-781-9911","A2800019",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",9,87,0,20200528193554,"Y",0,4,"Y","A2800019",104,"베데스다병원","N","N","N","N","Y","N","N","N","N","N","N","N","베데스다병원",79.2638558824275
"78","경상대학교병원","055-750-8282","A2800001",0,"Y","Y",0,2,3,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",6,136,0,20200528193600,"Y",12,13,"Y","A2800001",106,"경상대학교병원","Y","Y","N","Y","Y","Y","Y","N","Y","Y","Y","Y","경상대학교병원",131.490828864921
"79","반도병원","055-749-0200","A2800084",0,"0","0",0,0,0,0,"Y",0,"0",0,0,"Y","N",0,0,"Y",7,43,0,20200528193009,"Y",0,3,"Y","A2800084",107,"반도병원","N","N","N","N","Y","N","N","N","N","Y","N","N","반도병원",77.7920880235996
"80","진주고려병원","055-751-2525","A2800015",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",8,91,1,20200528193952,"Y",0,3,"Y","A2800015",108,"진주고려병원","Y","N","N","N","Y","Y","N","N","N","N","N","N","진주고려병원",87.2933777161048
"81","한일병원","055-750-1333","A2800043",0,"0","0",0,0,0,0,"Y",0,"Y",0,0,"Y","N",0,0,"Y",10,5,0,20200528193447,"Y",0,2,"Y","A2800043",109,"한일병원","Y","N","N","Y","Y","N","Y","N","Y","Y","N","N","한일병원",89.2039823742369
